"player_name","team_abbrev","player_label"
"Jaden Shirden","LOU","Jaden Shirden (LOU)"
"Jaelyn Duncan","DC","Jaelyn Duncan (DC)"
"Jah Joyner","HOU","Jah Joyner (HOU)"
"Jahcour Pearson","STL","Jahcour Pearson (STL)"
"Jaheim Thomas","LOU","Jaheim Thomas (LOU)"
"Jailin Walker","CLB","Jailin Walker (CLB)"
"Jake Camarda","COL","Jake Camarda (COL)"
"Ja'Khi Douglas","DC","Ja'Khi Douglas (DC)"
"Jalan McClendon","CLB","Jalan McClendon (CLB)"
"Jalen Jackson","LOU","Jalen Jackson (LOU)"
"Jalen McKenzie","HOU","Jalen McKenzie (HOU)"
"Jalen Moreno-Cropper","HOU","Jalen Moreno-Cropper (HOU)"
"Jalen Morton","CLB","Jalen Morton (CLB)"
"Jalen White","HOU","Jalen White (HOU)"
"Jalen Wydermyer","LOU","Jalen Wydermyer (LOU)"
"James Bostic","STL","James Bostic (STL)"
"James Robinson","LOU","James Robinson (LOU)"
"James Tunstall","LOU","James Tunstall (LOU)"
"Jarrid Williams","ORL","Jarrid Williams (ORL)"
"Jarrod Hufford","STL","Jarrod Hufford (STL)"
"Jarveon Howard","STL","Jarveon Howard (STL)"
"Jashaun Corbin","ORL","Jashaun Corbin (ORL)"
"Jasheen Davis","ORL","Jasheen Davis (ORL)"
"Jason Bean","LOU","Jason Bean (LOU)"
"Jason Ivey","ORL","Jason Ivey (ORL)"
"Jason Taylor II","ORL","Jason Taylor II (ORL)"
"Javion Cohen","STL","Javion Cohen (STL)"
"Javon Antonio","DC","Javon Antonio (DC)"
"JaVonta Payton","LOU","JaVonta Payton (LOU)"
"Jayden Peevy","ORL","Jayden Peevy (ORL)"
"Jaydon Mickens","BHAM","Jaydon Mickens (BHAM)"
"Jaylen Mahoney","ORL","Jaylen Mahoney (ORL)"
"Jaylon Allen","LOU","Jaylon Allen (LOU)"
"Jaylon Moore","CLB","Jaylon Moore (CLB)"
"Jereme Robinson","LOU","Jereme Robinson (LOU)"
"Jerome Kapp","ORL","Jerome Kapp (ORL)"
"Jerrod Clark","HOU","Jerrod Clark (HOU)"
"Jerron Cage","CLB","Jerron Cage (CLB)"
"Jesse Johnson III","BHM","Jesse Johnson III (BHM)"
"Jha'Quan Jackson","STL","Jha'Quan Jackson (STL)"
"Joe Wallace","DC","Joe Wallace (DC)"
"Joey Fisher","ORL","Joey Fisher (ORL)"
"Joey Lombard","BHM","Joey Lombard (BHM)"
"Johari Branch","DC","Johari Branch (DC)"
"John Campbell Jr.","HOU","John Campbell Jr. (HOU)"
